competencia_cnes,coregiao,regiao_aps,sgregiao,coufibge,estado_nome,uf_sigla,ibge_municipio,municipio_nome_aps,coclassificacaotipologia,nuanoreferencia,tporigembasepopulacao,aps_populacao,qt_esf,qt_eap_30hs,qt_eap_20hs,qt_esfr,qt_cadastro_esfr,qt_ecr,qt_cadastro_ecr,qt_eapp_20hs,qt_cadastro_eapp_20hs,qt_eapp_30hs,qt_cadastro_eapp_30hs,qt_cadastros_ecr_eapp,aps_capacidade_equipe,cobertura_aps_pct,municipio_key
04/2026,1,NORTE,N,12,ACRE,AC,120001,ACRELANDIA,3.0,2025,DOU,14712.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21000.0,142.74,acrelandia
04/2026,1,NORTE,N,12,ACRE,AC,120005,ASSIS BRASIL,5.0,2025,DOU,8648.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15750.0,182.12,assis_brasil
04/2026,1,NORTE,N,12,ACRE,AC,120010,BRASILEIA,4.0,2025,DOU,28028.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,112.38,brasileia
04/2026,1,NORTE,N,12,ACRE,AC,120013,BUJARI,3.0,2025,DOU,13928.0,4.0,0.0,0.0,1.0,2051.0,0.0,0.0,0.0,0.0,0.0,0.0,2051.0,16051.0,115.24,bujari
04/2026,1,NORTE,N,12,ACRE,AC,120017,CAPIXABA,3.0,2025,DOU,10981.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20125.0,183.27,capixaba
04/2026,1,NORTE,N,12,ACRE,AC,120020,CRUZEIRO DO SUL,1.0,2025,DOU,98916.0,37.0,4.0,0.0,6.0,14897.0,1.0,60.0,1.0,113.0,0.0,0.0,15070.0,155070.0,156.76,cruzeiro_do_sul
04/2026,1,NORTE,N,12,ACRE,AC,120025,EPITACIOLANDIA,4.0,2025,DOU,19874.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33250.0,167.3,epitaciolandia
04/2026,1,NORTE,N,12,ACRE,AC,120030,FEIJO,4.0,2025,DOU,37764.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,83.41,feijo
04/2026,1,NORTE,N,12,ACRE,AC,120032,JORDAO,5.0,2025,DOU,9884.0,2.0,0.0,0.0,1.0,2052.0,0.0,0.0,0.0,0.0,0.0,0.0,2052.0,9052.0,91.58,jordao
04/2026,1,NORTE,N,12,ACRE,AC,120033,MANCIO LIMA,3.0,2025,DOU,20479.0,7.0,1.0,0.0,1.0,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,1270.0,28395.0,138.65,mancio_lima
04/2026,1,NORTE,N,12,ACRE,AC,120034,MANOEL URBANO,5.0,2025,DOU,12923.0,3.0,1.0,0.0,1.0,2942.0,0.0,0.0,0.0,0.0,0.0,0.0,2942.0,16067.0,124.32,manoel_urbano
04/2026,1,NORTE,N,12,ACRE,AC,120035,MARECHAL THAUMATURGO,5.0,2025,DOU,18057.0,4.0,0.0,0.0,3.0,7433.0,0.0,0.0,0.0,0.0,0.0,0.0,7433.0,21433.0,118.69,marechal_thaumaturgo
04/2026,1,NORTE,N,12,ACRE,AC,120038,PLACIDO DE CASTRO,3.0,2025,DOU,17107.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28000.0,163.67,placido_de_castro
04/2026,1,NORTE,N,12,ACRE,AC,120080,PORTO ACRE,3.0,2025,DOU,17523.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500.0,99.86,porto_acre
04/2026,1,NORTE,N,12,ACRE,AC,120039,PORTO WALTER,5.0,2025,DOU,11333.0,4.0,0.0,0.0,1.0,1428.0,0.0,0.0,0.0,0.0,0.0,0.0,1428.0,15428.0,136.13,porto_walter
04/2026,1,NORTE,N,12,ACRE,AC,120040,RIO BRANCO,1.0,2025,DOU,389001.0,84.0,18.0,2.0,0.0,0.0,1.0,523.0,3.0,408.0,1.0,1196.0,2127.0,346877.0,89.17,rio_branco
04/2026,1,NORTE,N,12,ACRE,AC,120042,RODRIGUES ALVES,3.0,2025,DOU,15560.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31500.0,202.44,rodrigues_alves
04/2026,1,NORTE,N,12,ACRE,AC,120043,SANTA ROSA DO PURUS,5.0,2025,DOU,7217.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10500.0,145.48,santa_rosa_do_purus
