ibge_municipio,ibge_municipio_7,municipio_nome_ibge,uf_sigla,populacao_residente,telemedicine_precision_index,phase5_precision_rank,phase2_rank_balanced,phase2_need_pillar,phase2_feasibility_pillar,phase5_spatial_precision_mismatch_score,phase5_weighted_p90_ubs_km,phase5_population_share_pharmacy_le_2km,phase5_population_share_hard_ubs_easy_pharmacy,phase5_precision_status,phase5_evidence_grade
317010,3170107,Uberaba,MG,337836.0,81.29761065356738,1.0,4.0,93.11418746756073,76.81161515196119,70.53204487613606,6.46946596017446,0.5361654767401934,0.0505837151754105,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
330020,3300209,ARARUAMA,RJ,137906.0,76.40872179632946,2.0,70.0,79.49227258593082,61.62477508730303,82.1138008705565,9.250446304883514,0.6265163375002892,0.2141650793161154,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
430450,4304507,Canguçu,RS,49680.0,74.56770808361415,3.0,500.0,73.33073889458255,57.88622449550309,88.05101158043587,15.450313038651236,0.4280193236714976,0.008695652173913,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
430280,4302808,Caçapava do Sul,RS,32515.0,73.05938528549993,4.0,238.0,74.81046638736363,71.77362814285154,71.59077422601476,12.602555074953347,0.6442257419652468,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
411070,4110706,Irati,PR,59250.0,70.290898446838,5.0,227.0,74.1102037217199,67.95193167078767,66.95040802587926,10.24882337776144,0.5001856540084388,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
350220,3502200,Angatuba,SP,24022.0,69.8685086605473,6.0,160.0,53.17164167793768,83.27694069761706,89.78450632484946,13.933983988961408,0.6265090333860628,0.6265090333860628,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
330185,3301850,GUAPIMIRIM,RJ,54311.0,69.15366444227591,7.0,115.0,71.90249245104417,52.825544526726695,76.71677914421234,7.692752795293398,0.6096990095945528,0.5200789229340761,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
330070,3300704,Cabo Frio,RJ,222161.0,68.50445642430445,8.0,81.0,90.7600566981096,46.3800298929621,59.62501616202083,4.775500576257623,0.4860574088161288,0.0350781640341914,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
317040,3170404,Unaí,MG,86619.0,67.73821866333722,9.0,203.0,63.98623907981461,70.00210049680624,71.53080732293316,16.830262777236467,0.3453861162100693,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
431140,4311403,Lajeado,RS,93646.0,67.45057138771277,10.0,42.0,73.58929808347476,78.24066614171447,55.40149807085968,3.894479911445456,0.7195181855071225,0.0061294662879354,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
354990,3549904,São José dos Campos,SP,697054.0,67.09693283075188,11.0,92.0,92.74244786858856,59.39158993102526,47.44989142031738,2.7508950898742643,0.689352618305038,0.0020629678618873,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
410465,4104659,Carambeí,PR,23283.0,66.85116322520088,12.0,138.0,63.89579250243329,65.04921692863333,71.96763761939161,11.794268650810292,0.7819439075720482,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
530010,5300108,Brasília,DF,2817381.0,66.77294388876302,13.0,20.0,90.55342071292888,67.16786914970346,44.98124714468146,2.20848893463324,0.8416728159947128,0.0012767176324394,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
354890,3548906,São Carlos,SP,254857.0,66.27788207703844,14.0,151.0,90.5157071378235,75.61791270588014,41.17395584830974,3.2798841070024096,0.6576001443946998,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
110004,1100049,Cacoal,RO,86887.0,66.07391096455592,15.0,310.0,72.30875537166006,74.5382585974738,54.92454600038914,10.725082406032676,0.0,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
510675,5106752,Pontes e Lacerda,MT,52018.0,65.78817116672221,16.0,157.0,67.23318945628172,62.17796590700411,66.07275271936399,8.784864538939555,0.6962974355030951,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
330100,3301009,Campos dos Goytacazes,RJ,483540.0,65.25089072032777,17.0,431.0,92.75936658115896,55.30156198846168,45.62708893702842,4.327259705938183,0.4330355296356041,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
150060,1500602,Altamira,PA,126279.0,64.90678961913504,18.0,271.0,78.94772039040436,32.76804034256812,74.56988589093145,66.97313559430809,0.3231416149953674,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
421190,4211900,Palhoça,SC,222598.0,64.78129275840844,19.0,108.0,88.2493059065817,72.69018268690584,40.76064699372524,1.7494047038538592,0.8424334450444299,0.0162265608855425,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
330580,3305802,Teresópolis,RJ,165123.0,64.2959775529021,20.0,10.0,89.40195460381251,70.74815837240726,39.84599052329004,3.010626964149027,0.680916650012415,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
320320,3203205,Linhares,ES,166786.0,63.935114655079914,21.0,450.0,63.46447471586741,65.91302761343411,63.431350702351054,7.984897861106758,0.6555586200280599,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
430310,4303103,Cachoeirinha,RS,136258.0,63.8248316378595,22.0,24.0,86.97121899534378,67.2885876148004,41.599925799755965,3.49540941100182,0.5571122429508726,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
110020,1100205,Porto Velho,RO,460434.0,63.480522310356214,23.0,504.0,91.82087534260071,21.77320124432956,72.79349077961527,25.924853565644085,0.2008322582606845,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
520870,5208707,Goiânia,GO,1437366.0,63.409175462353794,24.0,1.0,96.9715015667531,78.89887181704174,32.4122244120023,1.8004858980335618,0.5881202143365016,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
430300,4303004,Cachoeira do Sul,RS,80070.0,63.325964700592806,25.0,233.0,74.50102054054105,69.59756551659345,48.68554255091805,4.443784977472817,0.7910453353315848,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
350950,3509502,Campinas,SP,1139047.0,63.25868559538791,26.0,122.0,90.23986639471713,64.70594060215245,39.550198388402066,1.688708661056418,0.7532832271188107,0.004089383493394,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
310260,3102605,Andradas,MG,40553.0,62.72326840696392,27.0,325.0,73.2989516289099,76.83009783397303,45.71736292612641,4.060481653434933,0.6676941286711218,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
431340,4313409,Novo Hamburgo,RS,227646.0,62.70518788690625,28.0,60.0,76.06934904976336,71.29871148203816,45.4517676558616,2.437180541379832,0.7024502956344499,0.0082540435588589,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
354980,3549805,São José do Rio Preto,SP,480393.0,62.68946022072686,29.0,6.0,92.32224233998308,68.38058058546191,36.264864043933464,2.2260337190046977,0.7656835132901604,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
355670,3556701,Vinhedo,SP,76540.0,62.6708957711723,30.0,27.0,89.88473642253643,73.92017362532357,35.869680853115995,2.089207066318131,0.8846354847138751,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
430690,4306908,Encruzilhada do Sul,RS,23819.0,62.600264457260934,31.0,400.0,66.84565969281292,58.298385035648494,59.92464596640509,19.74315396153623,0.0,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
351620,3516200,Franca,SP,352536.0,62.5741421849661,32.0,52.0,96.93710020106278,80.3226680131686,30.904330474509635,1.6292718032009152,0.6066529375723331,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
350600,3506003,Bauru,SP,379146.0,62.512518079173354,33.0,5.0,95.83843413056246,67.8825366372441,34.42876633837567,1.935188256590612,0.7829543236642349,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
521800,5218003,Porangatu,GO,44317.0,62.247836327830775,34.0,405.0,55.32666792759985,65.70292755043673,70.2317789765702,12.076056580998715,0.5828463117990839,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
352390,3523909,Itu,SP,168240.0,62.24634015690882,35.0,78.0,91.03570697307477,55.12384172481261,40.926235628925475,2.0151776213177826,0.4272824536376605,0.0006538278649548,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
432260,4322608,Venâncio Aires,RS,68763.0,62.212805010541885,36.0,390.0,61.37547215984603,74.41344607410906,57.148547468638554,6.341214082305032,0.6124950918371799,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
430790,4307906,Farroupilha,RS,70286.0,62.07246237847017,37.0,121.0,74.77552962934092,71.83581909795166,44.9451495110775,3.9993908362152406,0.6093532140113251,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
430510,4305108,Caxias do Sul,RS,463501.0,61.95805476502804,38.0,8.0,94.23509853248169,68.74735904309117,34.05221095039425,1.839676424369928,0.9128761318745806,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
500370,5003702,Dourados,MS,243367.0,61.81245359432209,39.0,98.0,79.22208007150373,65.75240605442193,43.36901471619144,2.3030604639963843,0.4932714788775799,0.0088179580633364,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
354340,3543402,Ribeirão Preto,SP,698642.0,61.67197770387959,40.0,287.0,95.82151255975684,59.30953288720141,35.787179491910884,2.50146257571885,0.4255856361341001,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
354060,3540606,Porto Feliz,SP,56497.0,61.53484594184045,41.0,408.0,69.03038624798275,64.58343719053731,51.634417985101585,4.952284363625926,0.7986264757420748,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
317020,3170206,Uberlândia,MG,713224.0,61.34154742985476,42.0,13.0,93.48721325083092,73.11635398628532,32.27715267490521,1.7358897465179537,0.6831850863122946,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
521250,5212501,Luziânia,GO,209129.0,61.303332091447885,43.0,23.0,91.163923868605,75.51287202790591,32.671575847091425,1.967903912580012,0.3541354857528128,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
314810,3148103,Patrocínio,MG,89826.0,61.0943469619017,44.0,267.0,56.15549242370113,82.01445700660099,57.542644617607166,6.401228478713404,0.6202658473047893,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
110002,1100023,Ariquemes,RO,96833.0,61.04210205884759,45.0,565.0,72.54722174231111,52.81663270975693,53.104507636552,9.40637154869886,0.0,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
355400,3554003,Tatuí,SP,123942.0,60.99618454037865,46.0,59.0,75.43272281437362,72.8122858232336,41.95100621552898,3.2407879258246983,0.8422568620806506,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
352740,3527405,Lucélia,SP,20061.0,60.8427640026033,47.0,498.0,62.26448952283727,67.18200345938479,55.81034616728324,11.558283485290447,0.0,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
353780,3537800,Piedade,SP,52970.0,60.826142209952906,48.0,124.0,83.70129689386121,53.09932154136985,43.60651830045446,5.7675751081736095,0.0,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
354390,3543907,Rio Claro,SP,201418.0,60.77381616260816,49.0,356.0,81.40906234172897,73.30979258013365,37.492704952857366,1.5575434029828317,0.738042280233147,0.0145816163401483,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
330340,3303401,Nova Friburgo,RJ,189939.0,60.64211829087742,50.0,173.0,90.45113986039075,56.35928687289062,37.81811205272877,2.9216589959738077,0.3940107087012146,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
411370,4113700,Londrina,PR,555965.0,60.60172370135485,51.0,9.0,91.92676243496032,75.54213660296195,31.27071622763461,1.5809676157094177,0.8772476684683388,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
430470,4304705,Carazinho,RS,61804.0,60.56224502896212,52.0,88.0,67.46363414469718,79.84629789596394,45.01339803441025,3.764925435266212,0.8885185424891593,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
432300,4323002,Viamão,RS,224112.0,60.55873293258166,53.0,483.0,80.55263826044255,62.83969752201326,41.08632841173589,3.289893019686553,0.6229296066252588,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
354140,3541406,Presidente Prudente,SP,225668.0,60.34484166104831,54.0,12.0,90.09193426128346,79.55538320929844,30.78072133654448,1.582524769863724,0.7156486520020561,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
510515,5105150,Juína,MT,45869.0,60.338172046002484,55.0,311.0,53.9497440184034,54.32089957227668,73.98658006294806,30.91428911269604,0.3537683402733872,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
355620,3556206,Valinhos,SP,126373.0,60.314972842460044,56.0,37.0,91.26080958945936,57.759185746812925,36.30135233859006,2.18631950491862,0.83672936465859,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
355220,3552205,Sorocaba,SP,723682.0,59.95018465356085,57.0,75.0,70.68013974788923,72.30414944309177,43.58674437341947,2.000785490540705,0.9387065036853204,0.0103277406374623,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
150420,1504208,Marabá,PA,266533.0,59.86265652553329,58.0,290.0,93.43296767899932,18.59612370166052,65.87249334559763,11.051285956978356,0.0519635467277973,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
354520,3545209,Salto,SP,134319.0,59.714248929249095,59.0,22.0,90.62388681227802,70.34860640987206,31.80380240691586,1.6084972580720311,0.9349608022692248,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
420140,4201406,Araranguá,SC,71922.0,59.70594820055717,60.0,422.0,75.6841071270025,84.44386633490186,36.10578250990299,2.423066950944793,0.5698256444481522,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
353030,3530300,Mirassol,SP,63337.0,59.613706897384446,61.0,11.0,89.1918717207288,75.77046775984768,30.963956954678846,1.6813434199884465,0.5090389503765571,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
431690,4316907,Santa Maria,RS,271735.0,59.60486077493823,62.0,32.0,91.92992330852184,72.05102936833198,30.639389148586798,1.5220616018110318,0.9247134156439176,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
410690,4106902,Curitiba,PR,1773718.0,59.58926627033485,63.0,2.0,93.9641751676958,73.94455576577295,29.328945982618936,1.4500177453354692,0.8322551837439773,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
353820,3538204,PINHALZINHO,SP,15676.0,59.56152209948174,64.0,168.0,64.8064864305848,64.58446919162,51.02090473553583,8.322520793078866,0.0,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
430860,4308607,Garibaldi,RS,34335.0,59.54540978735683,65.0,101.0,75.28614273898172,64.57633866009651,42.04826654080138,3.292747004943601,0.7894568224843455,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
410400,4104006,Campina Grande do Sul,PR,47825.0,59.542673299335405,66.0,201.0,78.6103547784736,44.18765438032624,49.399290610193574,4.932001643037161,0.5065969681129117,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
350410,3504107,Atibaia,SP,158647.0,59.52522556256448,67.0,184.0,81.46844702397867,66.88729112515712,37.199278606618876,2.8538138288668846,0.32688925728189,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
351830,3518305,Guararema,SP,31236.0,59.47941651262308,68.0,214.0,84.0193613110388,45.683053802289415,44.35939201800183,4.273840261357267,0.1165962351133307,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
430780,4307807,Estrela,RS,32183.0,59.371256007835946,69.0,224.0,57.33948429745589,85.71401417053151,50.33736507746699,4.76007285268137,0.7799770064941118,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
521150,5211503,Itumbiara,GO,107970.0,59.35252388477209,70.0,177.0,82.34924437026943,82.6919163777775,32.231833067094556,1.947211325926072,0.2226914883764008,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
350700,3507001,Boituva,SP,61081.0,59.28690586686426,71.0,67.0,78.97430887734903,67.63041864373164,38.03438640788212,2.501095308311426,0.8771794829816145,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
292050,2920502,Maracás,BA,27620.0,59.28182986278529,72.0,294.0,54.60412546453082,53.88293415453012,69.58473771437559,10.292277837151182,0.7551412020275163,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
352230,3522307,Itapetininga,SP,157790.0,59.16160490900838,73.0,21.0,88.12824230031482,66.83222672757736,33.05673003036099,1.7844768020079724,0.7557132898155776,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
520450,5204508,Caldas Novas,GO,98622.0,59.154278441971385,74.0,17.0,84.72723985948997,74.5675033013333,32.6514497993691,1.8978965169683817,0.4732311249011376,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
320500,3205002,Serra,ES,520653.0,59.072658492031884,75.0,53.0,91.04252864497644,61.99922610175651,32.94998389463878,1.8898569485148933,0.5414412286109943,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
431760,4317608,Santo Antônio da Patrulha,RS,42947.0,59.05919006707684,76.0,281.0,58.37362249559664,56.01467946031997,61.79335664803075,8.704526078542159,0.0257759564113907,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
320240,3202405,Guarapari,ES,124656.0,59.015921417172315,77.0,164.0,83.51607980244971,66.55066193516988,35.25846050490979,2.0667184766641298,0.7410152740341419,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
350760,3507605,Bragança Paulista,SP,176811.0,58.95731861937179,78.0,66.0,81.69408167601208,62.28153177334943,37.566460849073344,2.7627867234371912,0.5084129381090543,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
350160,3501608,Americana,SP,237240.0,58.93427189834986,79.0,7.0,94.7510478278482,68.04473034130739,29.482248977257292,1.461683577334021,0.818403304670376,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
351840,3518404,Guaratinguetá,SP,118044.0,58.84003363324538,80.0,383.0,91.76831945103572,52.75660193918407,35.36616730606824,2.1691582969924457,0.660906102809122,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
150795,1507953,Tailândia,PA,72493.0,58.7332346828477,81.0,516.0,79.56841920335525,31.67835535319785,56.567359046500734,12.387313556317594,0.0,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
351040,3510401,Capivari,SP,50068.0,58.5751354938041,82.0,72.0,86.63335551616134,74.38514677491644,30.89436503987483,1.6352612394516493,0.582028441319805,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
350115,3501152,Alumínio,SP,17301.0,58.41313410077934,83.0,137.0,74.77182071521544,67.88762238898674,39.02507431930429,4.713565220766911,0.0,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
430480,4304804,Carlos Barbosa,RS,30420.0,58.404547651411676,84.0,166.0,63.54557236065924,67.10201641651639,48.40486904917836,4.459646013130277,0.7254109138724524,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
352590,3525904,Jundiaí,SP,443221.0,58.33761627154055,85.0,200.0,87.2671631883865,64.08115150740106,32.94357010676894,1.8971413508413144,0.5350626436924243,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
520510,5205109,Catalão,GO,114427.0,58.24238399216196,86.0,15.0,91.89160200301134,83.35929094491549,26.40223123717301,1.3862505734483703,0.1983273178533038,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
291360,2913606,Ilhéus,BA,178649.0,58.194711118091206,87.0,288.0,61.00189203549331,44.51744641609516,63.835998838818675,9.123744788010072,0.3788826133927422,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
353390,3533908,Olímpia,SP,55074.0,57.96014581572558,88.0,34.0,73.96647552695039,86.60125903059004,33.67527699726946,1.914147794594295,0.6474016777426735,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
355060,3550605,São Roque,SP,79484.0,57.90519453438524,89.0,185.0,69.77580232150112,56.92895566235432,46.00558770558057,2.830748489358325,0.4102712495596598,0.0029943133209199,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
410040,4100400,Almirante Tamandaré,PR,119825.0,57.897428916241154,90.0,188.0,90.6627229609824,48.40768349706486,36.03023349113308,2.4765801463516834,0.4957062382641352,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
350280,3502804,Araçatuba,SP,200124.0,57.86871725391271,91.0,26.0,78.17288057585269,83.67581339068839,31.841685123211615,1.6497198039887466,0.7833493234194799,0.0,intramunicipal_population_weighted_ready,A_intramunicipal_population_weighted
