state_rank,uf_sigla,regiao_nome,state_strategy_tier,recommended_state_action,state_opportunity_score,population_weighted_phase2_score,population_weighted_need,population_weighted_spatial_mismatch,population_weighted_feasibility,population_weighted_digital_readiness,municipalities,population,scored_municipalities,scored_municipality_share_pct,top100_municipalities,top500_municipalities,top100_per_million_population,national_priority_high_readiness_count,regional_scale_opportunity_count,pharmacy_assisted_pilot_count,pharmacy_assisted_geodesic_candidate_count,high_need_digital_inclusion_first_count,national_priority_inclusion_first_count,monitor_or_low_priority_count,insufficient_evidence_count,digital_inclusion_first_count
1,SP,Sudeste,hybrid_national_and_pharmacy_pilot,Combinar teste digital estadual com validação local dos pilotos farmácia.,79.27379775620555,58.05695651612109,74.50383490486989,59.74767501551993,54.68778180578089,90.53095994589188,645,44412495,632,97.98449612403101,47,178,1.058260743964058,47,130,1,0,0,0,454,13,0
2,DF,Centro-Oeste,selective_city_ads,"Testar mídia apenas nos municípios líderes, sem extrapolar para todo o estado.",59.5851168694355,82.65655810667035,90.55342071292888,85.69045646046595,67.16786914970346,94.94058668655556,1,2817381,1,100.0,1,1,0.3549395697635499,1,0,0,0,0,0,0,0,0
3,RJ,Sudeste,hybrid_national_and_pharmacy_pilot,Combinar teste digital estadual com validação local dos pilotos farmácia.,53.50515238825753,59.887738854029436,74.11606751486778,63.05339048313635,54.4527268057606,79.83046633663778,92,16067362,92,100.0,7,29,0.4356657925551189,7,20,2,1,0,0,62,0,0
4,RS,Sul,hybrid_national_and_pharmacy_pilot,Combinar teste digital estadual com validação local dos pilotos farmácia.,44.31368511295212,44.65269504499969,44.81498779550097,64.70508795731583,67.0774598606095,78.56290383121545,497,10886834,465,93.56136820925553,13,66,1.1941028952953632,13,51,1,1,0,0,399,32,0
5,GO,Centro-Oeste,national_ads_priority,Priorizar geoexperimento digital em municípios Top 100 e medir funil por UF.,44.028444982931035,50.92709316813064,55.29980761258014,59.354893428159244,68.01037174178911,74.34509677175761,246,7056652,230,93.4959349593496,7,24,0.9919718302673847,7,17,0,0,0,0,206,16,0
6,PR,Sul,national_ads_priority,Priorizar geoexperimento digital em municípios Top 100 e medir funil por UF.,40.785852431654746,42.81470915460855,44.8606141519818,65.22708541563874,66.20919958773375,80.29806395939218,399,11440387,382,95.73934837092732,7,44,0.6118674132264932,7,37,0,0,0,0,338,17,0
7,MG,Sudeste,national_ads_priority,Priorizar geoexperimento digital em municípios Top 100 e medir funil por UF.,38.050899946401685,34.26350068528976,33.685220797641065,58.48489781660381,64.8132895486985,72.01784752057887,853,20540547,823,96.48300117233295,10,55,0.4868419521641756,10,45,0,0,0,0,768,30,0
8,MT,Centro-Oeste,regional_experiment,Usar como lista ampliada ou experimento regional controlado.,34.06018177788425,41.23639699144956,48.83063454397601,53.05662345250695,38.22395916558508,69.91182083600836,142,3658554,111,78.16901408450704,0,15,0.0,0,15,0,0,0,0,96,31,0
9,MS,Centro-Oeste,selective_city_ads,"Testar mídia apenas nos municípios líderes, sem extrapolar para todo o estado.",33.20716961456999,40.68525974029193,44.05694994791821,62.905090476888475,44.550028211002044,71.32250333239075,79,2757543,72,91.13924050632912,1,7,0.36264167050160234,1,6,0,0,0,0,65,7,0
10,AM,Norte,digital_inclusion_first,Desenhar oferta assistida ou de baixo consumo antes de campanha digital ampla.,31.9832828673125,36.734361455948005,56.21261895327425,38.96831704416256,9.424721403171885,49.033197508126456,62,3945100,21,33.87096774193548,0,1,0.0,0,1,0,0,1,0,19,41,1
