uf,regiao,ubs,municipios,valid_coords,missing_coords,population_2022,area_km2,ubs_per_100k_pop,ubs_per_1000_km2,coord_validity_pct,aps_weighted_coverage_pct,aps_weighted_capped_coverage_pct,priority_score
MG,Sudeste,6137,850,5824,313,20518856.0,585655.89,29.90907485290603,10.478849619355833,94.8997881701157,112.94660474692056,91.67189865125692,39.25010562660974
SP,Sudeste,5824,639,5517,307,44356876.0,246710.738,13.129869650874422,23.606593078246963,94.7287087912088,70.28379629663829,66.46261686446205,53.578354301833336
BA,Nordeste,4449,415,4352,97,14107185.0,562672.519,31.537120977714544,7.906908281049355,97.81973477185883,111.12640287641273,89.16190573128877,38.59684456479852
PE,Nordeste,3012,184,2921,91,9024453.0,96446.097,33.375984117818554,31.229879629032578,96.97875166002656,110.10344260708376,89.05271774879796,36.46339220474139
CE,Nordeste,2492,183,2402,90,8784351.0,148649.977,28.368629623292605,16.76421382830083,96.3884430176565,121.9642634166111,92.27863007531336,39.04802332201928
MA,Nordeste,2380,216,2327,53,6721200.0,327106.638,35.41034339106112,7.275914712559273,97.77310924369748,136.59921068485744,91.45401307021297,36.17274392516935
RJ,Sudeste,2371,88,2161,210,15832337.0,41786.319,14.975679206424168,56.74105919691083,91.14297764656264,79.7375663403797,76.27252682723076,52.216818130011895
PR,Sul,2367,388,2280,87,11328651.0,194916.794,20.89392638187901,12.14364319987738,96.32446134347276,96.91876396094544,84.5826642175919,48.595284261011344
RS,Sul,2340,460,2217,123,10594890.0,248986.358,22.086118874287507,9.398105256834995,94.74358974358974,97.44787574372624,86.85456309783203,48.06504698829211
SC,Sul,2057,295,1976,81,7610361.0,95730.685,27.0289412026578,21.487363221103035,96.06222654350996,112.90918842476312,94.29248387907262,44.80579636453633
PA,Norte,1852,140,1823,29,8044522.0,1232380.097,23.02187749626392,1.502783114161247,98.4341252699784,100.84650161892856,88.50992201134716,52.48302964095853
PB,Nordeste,1788,221,1729,59,3951469.0,55734.466,45.24899474094318,32.08068773817623,96.70022371364652,138.17984801195502,96.59340638110224,28.905313940611972
GO,Centro-Oeste,1611,243,1547,64,7047582.0,339057.727,22.85890394748156,4.751403291274939,96.02731222842957,90.45537300330336,78.41283615114534,45.0843550158742
PI,Nordeste,1276,222,1251,25,3260944.0,247269.245,39.129773464371056,5.16036678965069,98.04075235109718,145.9694322108745,99.51125323786208,33.48052826288589
RN,Nordeste,1135,166,1094,41,3300288.0,52514.616,34.39093800298641,21.613030551342124,96.38766519823788,127.6406484007923,92.34961440779948,34.50562540816054
MT,Centro-Oeste,1060,140,1039,21,3654114.0,902669.075,29.008399847404878,1.1742952421406485,98.0188679245283,95.10213110254004,85.18348371068014,45.175507158925015
AL,Nordeste,1001,102,967,34,3127683.0,27830.657,32.00452219742218,35.96753033893523,96.6033966033966,120.89192038866784,88.52724499883261,36.26042525311145
ES,Sudeste,942,76,878,64,3796285.0,44753.714,24.8137323725695,21.048532419007728,93.20594479830147,103.04401380239965,88.44767038636688,42.38305538511664
AM,Norte,706,59,697,9,3877709.0,1520454.917,18.206626644753385,0.4643347146346201,98.72521246458923,92.00956695990456,79.34258296164401,55.55448869592645
MS,Centro-Oeste,695,78,662,33,2739361.0,354296.358,25.370880289235338,1.9616346155045712,95.25179856115108,96.73044323158604,89.9155292248376,47.04587590981647
SE,Nordeste,592,74,545,47,2205259.0,21754.763,26.84491934960928,27.212431594864995,92.0608108108108,119.380600355006,95.71190560134646,42.00772626104423
TO,Norte,458,136,454,4,1499906.0,273597.827,30.535246875470857,1.6739899034358925,99.12663755458514,140.32922463896017,98.26683106523416,39.43760933492171
RO,Norte,341,52,326,15,1581196.0,237754.173,21.565953872891157,1.4342545314651531,95.60117302052788,98.87211393019209,85.40711778304176,49.35819807587049
AC,Norte,284,22,280,4,830018.0,164173.431,34.21612543342433,1.729877960581819,98.59154929577466,114.00632313099013,94.35124585581632,45.40267054685653
DF,Centro-Oeste,210,1,199,11,2817381.0,5760.784,7.4537309650345485,36.45337162441778,94.76190476190476,76.43370697510994,76.43370697510994,83.29164386060938
RR,Norte,168,15,155,13,636707.0,223644.527,26.385762996166207,0.7511920915462421,92.26190476190476,120.17740250036547,100.0,37.29342605032261
AP,Norte,162,16,156,6,733759.0,142470.762,22.07809376103053,1.137075409198696,96.29629629629628,123.17186122549184,98.28856676300686,33.09929614805693
