uf_sigla,uf_nome,regiao_nome,municipalities,ubs_records,valid_coordinate_records,aps_populacao,qt_esf,qt_eap_20hs,qt_eap_30hs,qt_ecr,qt_cadastro_ecr,qt_eapp_20hs,qt_cadastro_eapp_20hs,qt_eapp_30hs,qt_cadastro_eapp_30hs,qt_esfr,qt_cadastro_esfr,qt_cadastros_ecr_eapp,aps_capacidade_equipe,cobertura_aps_media_pct,cobertura_aps_capped_media_pct,coverage_gap_media_pct,nominal_capacity_excess_media_pct,aps_priority_score,cobertura_aps_ponderada_pct,cobertura_aps_ponderada_capped_pct
AC,Acre,Norte,22,284,280,884372.0,253.0,2.0,30.0,2.0,583.0,7.0,2139.0,1.0,1196.0,17.0,36572.0,40490.0,1008240.0,135.08136363636365,98.295,1.7050000000000003,36.78636363636363,45.40267054685653,114.00632313099013,94.35124585581632
AL,Alagoas,Nordeste,102,1001,967,3220848.0,1080.0,38.0,15.0,9.0,4191.0,10.0,3679.0,0.0,0.0,0.0,0.0,7870.0,3893745.0,162.16549019607845,99.63588235294118,0.3641176470588235,62.52960784313725,36.26042525311145,120.89192038866784,88.52724499883261
AM,Amazonas,Norte,59,706,697,4254225.0,971.0,93.0,29.0,10.0,1865.0,10.0,9555.0,1.0,2507.0,127.0,262992.0,276919.0,3914294.0,135.71033898305083,96.54169491525424,3.4583050847457626,39.16864406779661,55.55448869592645,92.00956695990456,79.34258296164401
AP,Amapá,Norte,16,162,156,806517.0,274.0,1.0,10.0,3.0,862.0,0.0,0.0,1.0,417.0,4.0,5123.0,6402.0,993402.0,165.969375,99.27375,0.7262500000000003,66.695625,33.09929614805693,123.17186122549184,98.28856676300686
BA,Bahia,Nordeste,415,4449,4352,14835145.0,4511.0,83.0,205.0,27.0,4236.0,39.0,4238.0,5.0,5414.0,0.0,0.0,13888.0,16485763.0,147.35077108433734,98.95443373493976,1.045566265060241,48.39633734939759,38.59684456479852,111.12640287641273,89.16190573128877
CE,Ceará,Nordeste,183,2492,2402,9257852.0,3170.0,32.0,49.0,10.0,5209.0,24.0,6102.0,1.0,335.0,0.0,0.0,11646.0,11291271.0,160.72743169398908,99.73349726775956,0.2665027322404371,60.99393442622951,39.04802332201928,121.9642634166111,92.27863007531336
DF,Distrito Federal,Centro-Oeste,1,210,199,2996899.0,647.0,0.0,0.0,6.0,4633.0,7.0,13817.0,6.0,7691.0,0.0,0.0,26141.0,2290641.0,76.43,76.43,23.569999999999997,0.0,83.29164386060938,76.43370697510994,76.43370697510994
ES,Espírito Santo,Sudeste,76,942,878,4087695.0,1126.0,36.0,73.0,11.0,3074.0,42.0,7253.0,7.0,6173.0,0.0,0.0,16500.0,4212125.0,137.3132894736842,98.00802631578946,1.9919736842105265,39.30526315789474,42.38305538511664,103.04401380239965,88.44767038636688
GO,Goiás,Centro-Oeste,243,1611,1547,7414559.0,1791.0,75.0,105.0,10.0,4135.0,58.0,24676.0,4.0,2681.0,0.0,0.0,31492.0,6706867.0,146.78847736625514,97.0497119341564,2.9502880658436217,49.738765432098766,45.0843550158742,90.45537300330336,78.41283615114534
MA,Maranhão,Nordeste,216,2380,2327,6961478.0,2680.0,10.0,30.0,14.0,2398.0,26.0,14442.0,6.0,2510.0,10.0,13724.0,33074.0,9509324.0,172.68907407407406,99.31175925925926,0.6882407407407407,73.37731481481481,36.17274392516935,136.59921068485744,91.45401307021297
