uf_sigla,uf_nome,regiao_nome,municipalities,ubs_records,valid_coordinate_records,missing_coordinate_records,population,area_km2,ubs_per_10k_population,ubs_per_1000_km2,coordinate_validity_pct
AC,Acre,Norte,22,284,280,4,830018.0,164173.431,3.4216125433424334,1.729877960581819,98.59154929577466
AL,Alagoas,Nordeste,102,1001,967,34,3127683.0,27830.657,3.200452219742218,35.96753033893523,96.6033966033966
AM,Amazonas,Norte,59,706,697,9,3877709.0,1520454.917,1.8206626644753383,0.4643347146346201,98.72521246458923
AP,Amapá,Norte,16,162,156,6,733759.0,142470.762,2.207809376103053,1.137075409198696,96.29629629629628
BA,Bahia,Nordeste,415,4449,4352,97,14107185.0,562672.519,3.1537120977714546,7.906908281049355,97.81973477185883
CE,Ceará,Nordeste,183,2492,2402,90,8784351.0,148649.977,2.8368629623292607,16.76421382830083,96.3884430176565
DF,Distrito Federal,Centro-Oeste,1,210,199,11,2817381.0,5760.784,0.7453730965034548,36.45337162441778,94.76190476190476
ES,Espírito Santo,Sudeste,76,942,878,64,3796285.0,44753.714,2.48137323725695,21.048532419007728,93.20594479830147
GO,Goiás,Centro-Oeste,243,1611,1547,64,7047582.0,339057.727,2.285890394748156,4.751403291274939,96.02731222842957
MA,Maranhão,Nordeste,216,2380,2327,53,6721200.0,327106.638,3.541034339106112,7.275914712559273,97.77310924369748
MG,Minas Gerais,Sudeste,850,6137,5824,313,20518856.0,585655.89,2.9909074852906032,10.478849619355833,94.8997881701157
MS,Mato Grosso do Sul,Centro-Oeste,78,695,662,33,2739361.0,354296.358,2.5370880289235336,1.9616346155045712,95.25179856115108
MT,Mato Grosso,Centro-Oeste,140,1060,1039,21,3654114.0,902669.075,2.9008399847404878,1.1742952421406485,98.0188679245283
PA,Pará,Norte,140,1852,1823,29,8044522.0,1232380.097,2.302187749626392,1.502783114161247,98.4341252699784
PB,Paraíba,Nordeste,221,1788,1729,59,3951469.0,55734.466,4.524899474094318,32.08068773817623,96.70022371364652
PE,Pernambuco,Nordeste,184,3012,2921,91,9024453.0,96446.097,3.337598411781855,31.229879629032578,96.97875166002656
PI,Piauí,Nordeste,222,1276,1251,25,3260944.0,247269.245,3.912977346437106,5.16036678965069,98.04075235109718
PR,Paraná,Sul,388,2367,2280,87,11328651.0,194916.794,2.089392638187901,12.14364319987738,96.32446134347276
RJ,Rio de Janeiro,Sudeste,88,2371,2161,210,15832337.0,41786.319,1.4975679206424168,56.74105919691083,91.14297764656264
RN,Rio Grande do Norte,Nordeste,166,1135,1094,41,3300288.0,52514.616,3.439093800298641,21.613030551342124,96.38766519823788
RO,Rondônia,Norte,52,341,326,15,1581196.0,237754.173,2.1565953872891157,1.4342545314651531,95.60117302052788
RR,Roraima,Norte,15,168,155,13,636707.0,223644.527,2.638576299616621,0.7511920915462421,92.26190476190476
RS,Rio Grande do Sul,Sul,460,2340,2217,123,10594890.0,248986.358,2.208611887428751,9.398105256834995,94.74358974358974
SC,Santa Catarina,Sul,295,2057,1976,81,7610361.0,95730.685,2.70289412026578,21.487363221103035,96.06222654350996
SE,Sergipe,Nordeste,74,592,545,47,2205259.0,21754.763,2.684491934960928,27.212431594864995,92.0608108108108
SP,São Paulo,Sudeste,639,5824,5517,307,44356876.0,246710.738,1.3129869650874422,23.606593078246963,94.7287087912088
TO,Tocantins,Norte,136,458,454,4,1499906.0,273597.827,3.053524687547086,1.6739899034358925,99.12663755458514
